"lakename","year4","daynum","sampledate","depth","tn_ug","tp_ug","nh34","no23","po4"
"East Long Lake",1998,239,1998-08-27,0,630.354,22.892,19.072,5.797,1.946
"Tuesday Lake",1998,239,1998-08-27,0,328.41,13.539,4.395,1.718,1.427
"Paul Lake",1999,144,1999-05-24,0,340.252,8.806,21.375,4.255,1.106
"Peter Lake",1999,144,1999-05-24,0,560.862,11.14,15.55,35.375,0.943
"Hummingbird Lake",1999,145,1999-05-25,0,779.053,34.033,21.248,5.013,1.798
"Tuesday Lake",1999,145,1999-05-25,0,371.565,12.081,11.558,2.481,1.35
"West Long Lake",1999,146,1999-05-26,0,469.071,13.949,39.337,5.623,1.75
"Crampton Lake",1999,162,1999-06-11,0,358.36,12.123,32.664,1.637,1.608
"Paul Lake",1999,172,1999-06-21,0,393.202,15.827,26.973,5.075,0.75
"Peter Lake",1999,172,1999-06-21,0,538.694,16.863,22.951,1.858,0.954
"Hummingbird Lake",1999,173,1999-06-22,0,967.986,42.119,22.205,7.577,1.24
"Tuesday Lake",1999,173,1999-06-22,0,482.668,13.365,23.922,2.098,1.145
"East Long Lake",1999,174,1999-06-23,0,893.427,55.793,22.136,4.817,3.15
"West Long Lake",1999,174,1999-06-23,0,620.146,19.159,22.375,4.149,0.685
"Crampton Lake",1999,196,1999-07-15,0,376.304,5.803,19.284,0.631,0.983
"Paul Lake",1999,200,1999-07-19,0,355.795,5.253,14.758,5.033,3.13
"Peter Lake",1999,200,1999-07-19,0,594.585,8.732,9.38,1.333,1.255
"Hummingbird Lake",1999,201,1999-07-20,0,1221.96,32.765,15.226,8.317,3.263
"Tuesday Lake",1999,201,1999-07-20,0,554.418,7.834,16.929,1.621,0.512
"East Long Lake",1999,202,1999-07-21,0,788.066,50.132,9.845,4.551,2.017
"West Long Lake",1999,202,1999-07-21,0,640.932,31.538,9.298,2.055,1.708
"Paul Lake",1999,228,1999-08-16,0,395.547,11.063,11.579,3.994,0.02
"Peter Lake",1999,228,1999-08-16,0,588.069,11.917,7.545,1.625,1.703
"Hummingbird Lake",1999,229,1999-08-17,0,1177.679,35.96,20.501,9.112,3.042
"Tuesday Lake",1999,229,1999-08-17,0,532.824,11.017,15.191,1.653,1.172
"East Long Lake",1999,230,1999-08-18,0,843.096,33.656,16.274,5.225,3.27
"West Long Lake",1999,230,1999-08-18,0,693.544,29.834,16.001,2.516,3.064
"Crampton Lake",1999,232,1999-08-20,0,353.38,15.555,9.419,2.651,1.089
