"lakename","year4","daynum","sampledate","depth","tn_ug","tp_ug","nh34","no23","po4"
"West Long Lake",1993,152,1993-06-01,0,531.89,15.964,9.376,16.388,3
"Peter Lake",1993,153,1993-06-02,0,414.602,24.58,10.638,11.537,3
"Paul Lake",1993,154,1993-06-03,0,45.67,7.443,4.374,2.118,1
"Central Long Lake",1993,155,1993-06-04,0,375.485,18.74,19.157,14.584,2
"East Long Lake",1993,158,1993-06-07,0,803.73,46.746,18.596,9.335,12
"West Long Lake",1993,159,1993-06-08,0,532.514,16.697,25.734,23.685,2
"Peter Lake",1993,160,1993-06-09,0,514.523,32.909,20.739,39.475,4
"Paul Lake",1993,161,1993-06-10,0,117.556,5.361,11.071,3.403,2
"Tuesday Lake",1993,162,1993-06-11,0,237.363,15.231,5.535,1.899,0
"East Long Lake",1993,165,1993-06-14,0,666.732,18.376,25.788,5.039,3
"West Long Lake",1993,166,1993-06-15,0,1252,63.243,57.335,49.376,5
"Peter Lake",1993,167,1993-06-16,0,616.316,51.881,89.413,79.911,5
"Paul Lake",1993,168,1993-06-17,0,149.364,11.38,7.684,5.125,0
"Central Long Lake",1993,169,1993-06-18,0,438.363,29.226,118.673,81.234,7
"East Long Lake",1993,172,1993-06-21,0,633.05,25.381,98.621,58.729,3
"West Long Lake",1993,173,1993-06-22,0,610.439,19.421,83.812,85.798,6
"Peter Lake",1993,174,1993-06-23,0,605.458,41.97,58.699,48.244,8
"Paul Lake",1993,175,1993-06-24,0,342.826,12.604,75.649,1.766,2
"Tuesday Lake",1993,176,1993-06-25,0,384.514,12.121,20.239,2.128,3
"East Long Lake",1993,179,1993-06-28,0,681.915,30.81,136.689,80.887,8
"West Long Lake",1993,180,1993-06-29,0,523.234,32.3,65.286,92.567,3
"Peter Lake",1993,181,1993-06-30,0,418.173,25.141,0,4.579,2
"Paul Lake",1993,182,1993-07-01,0,395.482,9.072,10.168,4.432,1
"Central Long Lake",1993,183,1993-07-02,0,666.215,19.041,108.111,152.981,1
"Peter Lake",1993,202,1993-07-21,0,395.31,23.143,4.312,8.945,1
"Paul Lake",1993,203,1993-07-22,0,345.66,8.689,9.121,0.789,1
"East Long Lake",1993,207,1993-07-26,0,762.998,29.006,58.068,81.426,5
"West Long Lake",1993,208,1993-07-27,0,695.265,34.115,152.922,183.31,4
"Peter Lake",1993,209,1993-07-28,0,352.001,27.056,35.613,26.438,3
"Paul Lake",1993,210,1993-07-29,0,281.421,7.108,2.048,1.417,1
"East Long Lake",1993,214,1993-08-02,0,895.54,23.416,166.947,94.402,9
"West Long Lake",1993,215,1993-08-03,0,781.871,32.812,199.237,150.499,1
"Peter Lake",1993,216,1993-08-04,0,641.684,21.373,6.303,30.8,1
"Paul Lake",1993,217,1993-08-05,0,298.507,9.888,11.436,1.763,1
"Tuesday Lake",1993,218,1993-08-06,0,357.603,10.958,8.06,2.396,1
"East Long Lake",1993,221,1993-08-09,0,819.938,23.238,205.544,86.158,4
"West Long Lake",1993,222,1993-08-10,0,775.41,15.545,254.956,182.785,4
"Peter Lake",1993,223,1993-08-11,0,517.016,25.603,15.706,16.092,0
"Paul Lake",1993,224,1993-08-12,0,187.672,11.542,39.431,1.439,0
"Central Long Lake",1993,225,1993-08-13,0,421.757,21.588,82.521,75.328,1
"East Long Lake",1993,228,1993-08-16,0,753.194,29.176,198.803,144.864,6
"West Long Lake",1993,229,1993-08-17,0,938.649,29.394,288.009,250.97,4
"Peter Lake",1993,230,1993-08-18,0,513.473,21.112,4.847,6.293,1
"Paul Lake",1993,231,1993-08-19,0,171.015,10.257,0,0,0
"Tuesday Lake",1993,232,1993-08-20,0,258.744,9.723,0,5.554,1
"East Long Lake",1993,235,1993-08-23,0,549.719,20.929,177.595,130.48,3
"West Long Lake",1993,236,1993-08-24,0,826.533,21.007,242.314,213.327,0
"Peter Lake",1993,237,1993-08-25,0,465.333,18.787,0.317,1.658,0
"Paul Lake",1993,238,1993-08-26,0,163.148,7.732,8.239,0.066,0
"Central Long Lake",1993,239,1993-08-27,0,403.883,17.789,41.453,64.917,2
"East Long Lake",1993,242,1993-08-30,0,621.891,30.197,82.049,137.552,2
"West Long Lake",1993,242,1993-08-30,0,959,31.951,221.765,195.956,1
"Paul Lake",1993,243,1993-08-31,0,277.235,11.321,0,2.026,0
"Peter Lake",1993,243,1993-08-31,0,448.049,18.417,0,2.969,0
"Central Long Lake",1993,246,1993-09-03,0,432.545,23.765,37.221,79.161,3
"Tuesday Lake",1993,246,1993-09-03,0,407.098,10.545,4.414,4.239,2
"East Long Lake",1993,249,1993-09-06,0,915.298,24.736,254.75,128.668,4
"West Long Lake",1993,249,1993-09-06,0,1066,31.752,211.618,191.212,3
"Paul Lake",1993,250,1993-09-07,0,223.799,11.671,0,4.672,2
"Peter Lake",1993,250,1993-09-07,0,420.378,20.819,1.364,2.506,1
"East Long Lake",1994,143,1994-05-23,0,611.282,19.669,15.109,5.596,3.141
"Peter Lake",1994,145,1994-05-25,0,460.791,14.504,13.789,2.862,2.337
"Paul Lake",1994,146,1994-05-26,0,417.345,17.09,13.631,3.664,2.632
"Central Long Lake",1994,147,1994-05-27,0,386.644,8.19,20.188,3.128,5.999
"East Long Lake",1994,150,1994-05-30,0,521.864,21.013,12.384,4.385,4.27
"West Long Lake",1994,151,1994-05-31,0,424.086,13.914,13.644,5.421,1.282
"Peter Lake",1994,152,1994-06-01,0,379.781,12.581,11.417,9.359,1.848
"East Long Lake",1994,157,1994-06-06,0,734.455,26.585,58.376,50.96,2.239
"West Long Lake",1994,158,1994-06-07,0,516.421,11.258,38.218,18.251,1.016
"Peter Lake",1994,159,1994-06-08,0,509.244,16.359,15.81,10.064,1.557
"Paul Lake",1994,160,1994-06-09,0,437.168,16.697,8.26,4.259,2.076
"Central Long Lake",1994,161,1994-06-10,0,589.607,10.323,27.606,56.348,1.977
"East Long Lake",1994,164,1994-06-13,0,645.865,13.854,62.34,40.596,1.895
"West Long Lake",1994,165,1994-06-14,0,617.945,12.45,33.138,34.042,1.249
"Peter Lake",1994,166,1994-06-15,0,477.839,15.346,18.911,1.117,1.07
"Paul Lake",1994,167,1994-06-16,0,423.307,13.946,7.221,1.848,0.982
"Tuesday Lake",1994,168,1994-06-17,0,442.174,14.954,6.407,1.69,1.018
"East Long Lake",1994,171,1994-06-20,0,618.325,20.885,92.846,71.013,2.348
"West Long Lake",1994,172,1994-06-21,0,639.792,18.934,30.261,53.898,0.45
"Peter Lake",1994,173,1994-06-22,0,480.66,19.304,14.8,7.688,2.349
"Paul Lake",1994,174,1994-06-23,0,422.934,10.605,11.994,2.699,1.036
"East Long Lake",1994,178,1994-06-27,0,676.4,19.004,46.953,94.614,2.096
"West Long Lake",1994,179,1994-06-28,0,851.832,22.825,26.456,61.88,1.781
"Peter Lake",1994,180,1994-06-29,0,609.005,24.788,30.133,10.607,1.807
"Paul Lake",1994,181,1994-06-30,0,439.984,15.738,19.486,2.787,5.07
"Tuesday Lake",1994,182,1994-07-01,0,544.695,15.675,25.342,1.877,1.513
"Peter Lake",1994,187,1994-07-06,0,571.092,24.207,49.395,37.282,6.265
"Paul Lake",1994,188,1994-07-07,0,412.669,21.763,16.571,4.681,2.436
"East Long Lake",1994,192,1994-07-11,0,907.7,24.693,12.276,136.299,2.172
"West Long Lake",1994,193,1994-07-12,0,957.919,16.83,147.396,97.262,1.525
"Peter Lake",1994,194,1994-07-13,0,746.728,19.149,22.593,49.247,0.896
"Paul Lake",1994,195,1994-07-14,0,402.942,4.501,3.935,2.438,0.823
"Tuesday Lake",1994,196,1994-07-15,0,450.242,14.502,2.439,2.6,0.912
"East Long Lake",1994,199,1994-07-18,0,880.044,21.491,48.906,144.414,3.019
"West Long Lake",1994,200,1994-07-19,0,1161.23,20.22,133.506,111.79,2.298
"Peter Lake",1994,201,1994-07-20,0,699.476,23.381,8.049,0.421,2.279
"Paul Lake",1994,202,1994-07-21,0,387.608,11.473,5.831,4.901,1.604
"Central Long Lake",1994,203,1994-07-22,0,799.292,20.43,106.271,120.824,1.693
"East Long Lake",1994,206,1994-07-25,0,815.852,15.436,113.908,174.352,3.843
"West Long Lake",1994,207,1994-07-26,0,991.104,20.54,133.304,121.23,2.881
"Peter Lake",1994,208,1994-07-27,0,779.086,21.692,7.239,3.69,2.633
"Paul Lake",1994,209,1994-07-28,0,375.783,7.527,3.008,2.37,3.708
"Tuesday Lake",1994,210,1994-07-29,0,464.449,15.546,2.809,2.165,2.713
"East Long Lake",1994,213,1994-08-01,0,876.195,20.045,114.679,185.206,1.309
"West Long Lake",1994,214,1994-08-02,0,1250.195,23.625,136.113,126.278,0.967
"Peter Lake",1994,215,1994-08-03,0,814.424,24.463,3.017,2.053,0.65
"Paul Lake",1994,216,1994-08-04,0,499.251,9.512,9.548,2.125,0.466
